sira,score,tipadi,daire,esasno,esasyil,kararno,karartarihi,kaynak_arama,sinyaller,konu,metin_ozet
675,20.3,Yargıtay,21,3959,2018,4936,2019-09-10,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ...Bölge Adliye Mahkemesi 7. Hukuk Dairesi İLK DERECE MAHKEMESİ:...ş Mahkemesi TÜRK MİLLETİ ADINA Davacılar murisinin, iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üze"
676,20.3,Yargıtay,10,7339,2020,5623,2020-10-07,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - ÖLENİN OLAYDA HİÇ KUSURUNUN BULUNMADIĞININ ANLAŞILIP KAZA OLAYININ MEYDANA GELMESİNDE KUSURU BULUNANLAR ARASINDAKİ KUSUR DAĞILIMININ KENDİ ARALARINDA GÖRÜLMESİ MUHTEMEL RÜCU DAVASIND,"(4857 S. K. m. 2, 77) &nbsp; Davacı, murisinin iş kazası sonucu maluliyetinden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. &nbsp; İlk Derece Mahkemesince davanın kabulüne karar verilmesi üzerine davalılardan TKİ vekilince istinaf kanun yoluna başvurulmuştur. &nbsp; Bö"
677,20.3,Yargıtay,21,3391,2018,9357,2018-12-17,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 7. Hukuk Dairesi İLK DERECE MAHKEMESİ: İş Mahkemesi TÜRK MİLLETİ ADINA Davacılar murisinin, iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine"
678,20.3,Yargıtay,21,1054,2019,7567,2019-12-09,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 9. Hukuk Dairesi TÜRK MİLLETİ ADINA Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir.İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davacılar ile davalılardan ... İşle"
679,20.3,Yargıtay,21,5274,2018,5808,2019-10-07,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi ... Hukuk Dairesi İLK DERECE MAHKEMESİ: ... İş Mahkemesi K A R A R A)Davacı İstemi; Davacılar dava dilekçesi ve ıslah ile eş için 215.836,18 TL maddi, 300.000,00 TL manevi, her iki çocuk için 55.540,09'ar TL maddi, 250.000,00'er TL manevi, anne, baba ve kardeşle"
680,20.3,Yargıtay,21,2041,2018,6182,2018-09-11,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - MADEN KAZASI GİBİ TOPLUMU DERİNDEN ETKİLEYEN FACİALARDA HÜKÜM ALTINA ALINAN MANEVİ TAZMİNAT TUTARLARI DEĞERLENDİRİLİRKEN MANEVİ TAZMİNATIN CAYDIRICILIK UNSURUNUN ÖNE ÇIKMASI GEREKTİĞ,"(6331 S. K. m. 4, 5, 10) (818 S. K. m. 47, 332) (6098 S. K. m. 56, 417) (4857 S. K. m. 2, 77) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) &nbsp; Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar"
681,20.3,Yargıtay,10,9940,2020,2075,2021-02-23,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - İŞ KAZASININ MEYDANA GELMESİNDE KUSURU BULUNANLAR ARASINDAKİ KUSUR DAĞILIMININ İLERDE KENDİ ARALARINDA AÇILABİLECEK RÜCU DAVASINDA DEĞERLENDİRİLECEĞİ - GENEL MÜDÜRLÜĞÜNÜN ÜNVANININ K,"(4857 S. K. m. 2, 77) (6331 S. K. m. 4, 5) (7036 S. K. m. 8) (6100 S. K. m. 297) &nbsp;(6100 S. K. m. 346, 362, 366) (818 S. K. m. 47, 332) (6098 S. K. m. 56, 417) (YİBK. 01.06.1990 T. 1989/3 E. 1990/4 K.) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/38"
682,20.3,Yargıtay,21,17438,2016,3205,2017-04-18,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - ÖLENİN OLAYDA HİÇ KUSURUNUN BULUNMADIĞI - KUSUR DAĞILIMININ İLERDE KENDİ ARALARINDA AÇILABİLECEK RÜCU DAVASINDA YENİDEN DEĞERLENDİRİLMESİNİN MÜMKÜN BULUNMASI - USUL VE KANUNA UYGUN O,"(6331 S. K. m. 4, 5, 10, 19) (818 S. K. m. 47, 332) (6098 S. K. m. 56, 417) (4857 S. K. m. 2, 77) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) Dava ve Karar: Davacılar murisinin, iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesi dava"
683,20.3,Yargıtay,21,2462,2019,282,2020-01-28,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Asıl ve Birleşen Mahkemenin 2018/276 Esas sayılı davası bakımından TÜRK MİLLETİ ADINA Asıl ve birleşen dava bakımından; Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme, bozmaya uyarak ilamında "
684,20.3,Yargıtay,21,17681,2016,3206,2017-04-18,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Davacılar murisinin, iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesi davasının yapılan yargılaması sonunda; ilamda yazılı nedenlerle, 240.000,00TL manevi tazminatın yasal faiziyle birlikte davalılardan müştereken ve müteselsilen alınarak davacılara verilmesine il"
685,20.3,Yargıtay,21,281,2019,7423,2019-12-03,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:Bölge Adliye Mahkemesi 9. Hukuk Dairesi TÜRK MİLLETİ ADINA KARAR A)Davacı İstemi Davacılar dava dilekçesi ve ıslah ile eş için 173.259,07 TL maddi, 200.000,00 TL manevi, çocuk İbrahim için 68.565,78 TL maddi, 150.000,00 TL manevi, çocuk Tuğba için 90.998,60 TL maddi, 150.000,00 TL manevi, "
686,20.3,Yargıtay,10,8254,2020,6194,2020-11-02,gebe+illiyet,gebe×1 | travma×17 | illiyet×9 | trafik/iş kaz,MADDİ VE TAZMİNAT DAVASI - BAKİYE ÖMÜR SONUNA KADAR MURİSİN DESTEĞİNDEN FAYDALANDIRILMASI İSABETSİZ OLDUĞU GİBİ SOMUT OLAYIN ÖZELLİĞİNE GÖRE EŞ YARARINA HÜKÜM ALTINA ALINAN MANEVİ TAZMİNAT BİR MİKTAR ,"(6100 S. K. m. 353) (6331 S. K. m. 4, 5, 10) (818 S. K. m. 47, 332) (6098 S. K. m. 56, 417) (4857 S. K. m. 2, 77) (09.10.2013 T. 2013/21-102 E. 2013/1456 K.) &nbsp; A)Davacı İstemi &nbsp; Davacı dava dilekçesi ve ıslah ile 159.121,71 TL maddi, 200.000,00 TL manevi tazminat talep etmiştir. &nbsp; B)D"
687,20.3,Yargıtay,21,19175,2016,3207,2017-04-18,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - ÖLÜMLÜ İŞ KAZASI - İŞ KAZASININ MEYDANA GELMESİNDE KUSURU BULUNANLAR ARASINDAKİ KUSUR DAĞILIMININ AÇILACAK RÜCU DAVASINDA DEĞERLENDİRİLEBİLECEĞİ - TEMYİZ İTİRAZLARININ REDDİYLE HÜKMÜ,"(6331 S. K. m. 4, 5, 10, 19) (6098 S. K. m. 56, 417) (818 S. K. m. 47, 332) (4857 S. K. m. 2, 77) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) (YHGK. 23.06.2004 T. 2004/13-291 E. 2004/370 K.) Dava: Davacı murisinin, iş kazası sonucu ölümünden do"
688,20.3,Yargıtay,21,4924,2019,8030,2019-12-23,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:Bölge Adliye Mahkemesi 15. Hukuk Dairesi TÜRK MİLLETİ ADINA Davacı murisinin, iş kazası ölümünden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir.İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davalılardan ... İşletmeleri Genel Müdürlüğü vekilince"
689,20.3,Yargıtay,21,723,2019,7776,2019-12-16,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:Bölge Adliye Mahkemesi 7. Hukuk Dairesi TÜRK MİLLETİ ADINA Asıl ve birleşen davalar bakımından davacılar,murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir.İlk Derece Mahkemesince asıl ve birleşen davaların kısmen kabulüne karar "
690,20.3,Yargıtay,10,9684,2020,2074,2021-02-23,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - HUSUMET YÖNELTİLEMEYECEĞİNDEN BAHİSLE ADI GEÇEN ŞİRKET HAKKINDAKİ DAVANIN REDDİNE KARAR VERİLMESİ HATALI OLDUĞU - GENEL MÜDÜRLÜĞÜNÜN ÜNVANININ GEREKÇELİ KARAR BAŞLIĞINDA EKSİK GÖSTER,"(6100 S. K. m. 297) (492 S. K. m. 8) (6331 S. K. m. 4, 5, 10, 19) (818 S. K. m. 47, 332) (6098 S. K. m. 417) (4857 S. K. m. 2, 77) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) (YHGK. 23.6.2004 T. 2004/13-291 E. 2004/370 K.) &nbsp; Dava ve Karar:"
691,20.3,Yargıtay,21,1607,2020,2663,2020-06-23,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:... Bölge Adliye Mahkemesi 3. Hukuk Dairesi TÜRK MİLLETİ ADINA Davacılar, murisinin iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir.İlk Derece Mahkemesince davanın kabulüne karar verilmesi üzerine davalılardan ... İşletmeleri Genel Müdürlüğü vek"
692,20.3,Yargıtay,21,426,2019,7421,2019-12-03,gebe+illiyet,gebe×1 | travma×12 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 9. Hukuk Dairesi TÜRK MİLLETİ ADINA KARAR Dosyadaki yazılara, toplanan delillere, hükmün dayandığı gerektirici nedenlerle temyiz kapsam ve nedenlerine göre; davalının aşağıdaki bendin kapsamı dışında kalan sair temyiz itirazlarının reddine, Dava, sigortalının iş kaz"
693,20.3,Yargıtay,10,3710,2021,1927,2022-02-15,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:İş Mahkemesi Dava, iş kazasından kaynaklanan manevi tazminat istemine ilişkindir. Mahkemece, (kapatılan) 21. Hukuk Dairesinin bozmaya uyularak ilamda belirtildiği şekilde davanın kısmen kabulüne karar verilmiştir. Hükmün, davalı ... Genel Müdürlüğü vekili tarafından temyiz edilmesi üzerine"
694,20.3,Yargıtay,21,754,2017,3215,2017-04-18,gebe+illiyet,gebe×1 | travma×15 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Davacılar murisinin, iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme ilamında belirtildiği şekilde, isteğin kısmen kabulüne karar vermiştir. Hükmün, davacılar ile davalılardan .... ve Türkiye Kömür İşletmeleri Kurumu Genel "
695,20.3,Yargıtay,10,1016,2021,8294,2021-06-15,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davalı ... A.Ş. yönünden davanın reddine, diğer davalılar yönünden davanın kabulüne dair verilen karara karşı davalı Türkiye Kömür İşletmle"
696,20.3,Yargıtay,10,2716,2021,1503,2022-02-08,gebe+illiyet,gebe×1 | travma×15 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. Mahkemece, bozmaya uyularak ilamda belirtildiği şekilde davanın kısmen kabulüne karar verilmiştir. Hükmün, davalı ... Genel Müdürlüğü vekili tarafından temyiz edilmesi üzerine temyiz isteğinin sür"
697,20.3,Yargıtay,21,203,2019,7201,2019-11-26,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 9. Hukuk Dairesi MAHKEMESİ: İş Mahkemesi 1-Davacı Annenin Maddi, Davacı Kardeşlerin Manevi Tazminat İstemlerine İlişkin Hükümler Yönünden Miktar veya değeri temyiz kesinlik sınırını geçmeyen davalara ilişkin nihai kararlar 6100 sayılı Hukuk Muhakemeleri Kanununun 36"
698,20.3,Yargıtay,10,10021,2021,15991,2021-12-14,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"Bölge Adliye Mahkemesi : ... Bölge Adliye Mahkemesi .... Hukuk Dairesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. İlk Derece Mahkemesince, bozmaya uyularak hükümde belirtilen gerekçelerle davanın kısmen kabulüne dair verilen karara karşı davacılar ve davalı ... "
699,20.3,Yargıtay,21,720,2019,288,2020-01-28,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 3. Hukuk Dairesi İLK DERECE MAHKEMESİ: Soma İş Mahkemesi TÜRK MİLLETİ ADINA K A R A R A)Davacı İstemi Davacılar asıl ve birleşen dosyalardaki dava dilekçeleri ve ıslah ile eş için 156.365,25 TL maddi, 190.000,00 TL manevi, çocuk Halil için 21.256,24 TL maddi, "
700,20.3,Yargıtay,21,89,2019,6734,2019-11-11,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 9. Hukuk Dairesi MAHKEMESİ: İş Mahkemesi A)Davacı İstemi Davacılar dava dilekçesi ve ıslah ile eş için 203.010,51 TL maddi, 250.000,00 TL manevi, çocuk Zeynep için 74.358,63 TL maddi, 145.000,00 TL manevi, çocuk Nisanur için 56.003,01 TL maddi, 145.000,00 TL tazmina"
701,20.3,Yargıtay,21,624,2017,3218,2017-04-18,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Davacılar murisinin, iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesi davasının yapılan yargılaması sonunda; ilamda yazılı nedenlerle, davalılardan .... yönünden davanın husumet nedeniyle reddine, 160.000.00TL manevi tazminatın yasal faiziyle birlikte diğer davalı"
702,20.3,Yargıtay,21,5269,2018,4939,2019-09-10,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 7. Hukuk Dairesi İLK DERECE MAHKEMESİ: Soma İş Mahkemesi TÜRK MİLLETİ ADINA Davacı murisinin, iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine "
703,20.3,Yargıtay,21,3840,2018,4925,2019-09-10,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi TÜRK MİLLETİ ADINA Davacılar murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme ilamında belirtildiği şekilde, isteğin kısmen kabulüne karar vermiştir. Hükmün, davalılardan TKİ Genel Müdürlüğü vekili tarafın"
704,20.3,Yargıtay,21,5273,2018,5809,2019-10-07,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi ... Hukuk Dairesi İLK DERECE MAHKEMESİ: ... İş Mahkemesi K A R A R A)Davacı İstemi; Davacılar dava dilekçesi ve ıslah ile eş için 67.515,24 TL maddi, 200.000,00 TL manevi, çocuk ... için 11.546,15 TL maddi, 125.000,00 TL manevi, çocuk ... için 12.093,43 TL maddi"
705,20.3,Yargıtay,21,1628,2018,3146,2018-04-02,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - İŞ KAZASININ 301 KİŞİNİN ÖLÜMÜNE VE 486 KİŞİNİN YARALANMASINA YOL AÇTIĞI -  TOPLUMUN GENELİNDE DERİN BİR ÜZÜNTÜ MEYDANA GETİRDİĞİ - MANEVİ TAZMİNATIN CAYDIRICILIK UNSURUNUN ÖNE ÇIKMA,"(6331 S. K. &nbsp;m. 4, 5, 10) (818 S. K. &nbsp;m. 332) (6098 S. K. &nbsp;m. 56, 417) (4857 S. K. &nbsp;m. 2, 77) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) &nbsp; Dava: Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir."
706,20.3,Yargıtay,21,5886,2017,9533,2017-11-21,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - ÖLÜMLÜ İŞ KAZASI - KARARIN DAYANDIĞI DELİLLERLE KANUNİ GEREKTİRİCİ SEBEPLER - ÖLENİN OLAYDA HİÇ KUSURUNUN BULUNMADIĞI - YERİNDE GÖRÜLMEYEN BÜTÜN TEMYİZ İTİRAZLARININ REDDİYLE USUL VE,"(6331 S. K. m. 4, 5, 10, 19) (6098 S. K. m. 56, 417) (818 S. K. m. 47, 332) (4857 S. K. m. 2, 77) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) (YHGK. 23.06.2004 T. 2004/13-291 E. 2004/370 K.) &nbsp; Davacılar murisinin, iş kazası sonucu ölümünde"
707,20.3,Yargıtay,10,11044,2021,1507,2022-02-08,gebe+illiyet,gebe×1 | travma×15 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi :İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. Mahkemece, (kapatılan) 21. Hukuk Dairesinin bozmaya uyularak ilamda belirtildiği şekilde davanın kısmen kabulüne karar verilmiştir. Hükmün, davalı ... Genel Müdürlüğü tarafından temyiz edilmesi ü"
708,20.3,Yargıtay,21,3285,2018,8146,2018-11-12,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 15. Hukuk Dairesi İLK DERECE MAHKEMESİ: ... İş Mahkemesi TÜRK MİLLETİ ADINA Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmes"
709,20.3,Yargıtay,21,3610,2019,8033,2019-12-23,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 28. Hukuk Dairesi TÜRK MİLLETİ ADINA K A R A R A)Davacı İstemi Davacılar dava dilekçesi ve ıslah ile anne ve baba için 100.000,00'er TL, kardeşler için 80.000,00'er TL manevi tazminat talep etmişlerdir. B)Davalıların Cevapları Davalılar vekilleri davanın reddi gerek"
710,20.3,Yargıtay,21,1423,2017,4646,2017-05-30,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"İLK DERECE MAHKEMESİ : Soma İş Mahkemesi Davacılar murisinin, iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davalılardan .... ve ... İşletmeleri Kurumu Genel Müdürlüğü vekillerince"
711,20.3,Yargıtay,21,1716,2019,7770,2019-12-16,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:Bölge Adliye Mahkemesi 15. Hukuk Dairesi TÜRK MİLLETİ ADINA Davacılar, murisinin iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir.İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davalılardan ... Genel Müdürlüğü vekilince i"
712,20.3,Yargıtay,21,2630,2019,818,2020-02-17,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi TÜRK MİLLETİ ADINA Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme, bozma üzerine ilamında belirtildiği şekilde, isteğin kısmen kabulüne karar vermiştir. Hükmün davalılardan TKİ vekili tarafınd"
713,20.3,Yargıtay,10,7522,2020,6018,2021-04-27,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi: ... Bölge Adliye Mahkemesi .... Hukuk Dairesi İş kazasından kaynaklanan maddi ve manevi tazminat davasının yapılan yargılaması sonunda; İlk Derece Mahkemesince ilâmda yazılı nedenlerle davanın kısmen kabulüne dair verilen karara karşı birleşen dava dosyasının davacısı ile davalılardan ..."
714,20.3,Yargıtay,21,211,2019,7413,2019-12-03,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,MAHKEMESİ: Bölge Adliye Mahkemesi 9. Hukuk Dairesi TÜRK MİLLETİ ADINA KARAR 1-İlk derece mahkemesi karar başlığında ... T.C. kimlik numaralı davacı çocuk ... 'nin isminin yazılmaması maddi hatadan kaynaklandığından ve bu maddi hata her zaman mahkemece düzeltilebileceğinden bu husus bozma nedeni yapı
715,20.3,Yargıtay,21,277,2019,7424,2019-12-03,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 9. Hukuk Dairesi TÜRK MİLLETİ ADINA K A R A R A)Davacı İstemi Davacılar dava dilekçesi ve ıslah ile eş için 201.636,83 TL maddi, 255.000,00 TL manevi, çocuk ... için 24.995,07 TL maddi, 145.000,00 TL manevi, çocuk ... için 53.624,06 TL maddi, 145.000,00 TL manevi, ç"
716,20.3,Yargıtay,10,2183,2021,1077,2022-01-25,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. Mahkemece, bozmaya uyularak ilamda belirtildiği şekilde davanın kısmen kabulüne karar verilmiştir. Hükmün, davalı ... Genel Müdürlüğü vekili tarafından temyiz edilmesi üzerine temyiz isteğinin sür"
717,20.3,Yargıtay,21,3492,2018,5432,2019-09-24,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ....Hukuk Dairesi İLK DERECE MAHKEMESİ: ...İş Mahkemesi TÜRK MİLLETİ ADINA Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davalılardan ... v"
718,20.3,Yargıtay,21,248,2017,3221,2017-04-18,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Davacılar murisinin, iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesi davasının yapılan yargılaması sonunda; ilamda yazılı nedenlerle, 450.000.00TL manevi tazminatın yasal faiziyle birlikte davalılardan müştereken ve müteselsilen alınarak davacılara verilmesine il"
719,20.3,Yargıtay,10,9804,2020,2975,2021-03-09,gebe+illiyet,gebe×1 | travma×15 | illiyet×9 | trafik/iş kaz,TAZMİNAT DAVASI - DAVALI GENEL MÜDÜRLÜĞÜ TARAFINDAN YATIRILAN BAKİYE KARAR VE İLAM HARÇLARININ İLGİLİ MADDESİNE AYKIRI OLDUĞU - EKSİK İNCELEME VE ARAŞTIRMA SONUCU KARAR VERİLMESİNİN İSABETSİZLİĞİ - HÜ,"(5521 S. K. m. 5, 8) (7036 S. K. m. 8) (6100 S. K. m. 346, 362, 366) (818 S. K. m. 47, 332) (6098 S. K. m. 56, 417) (6331 S. K. m. 4, 5, 10) (4857 S. K. m. 2, 77) (492 S. K. m. 8) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) &nbsp; Dava: Dava, i"
